Rank,Company,股票代码,部门,行业,盈利,Founder_is_CEO,FemaleCEO,Growth_in_Jobs,Change_in_Rank,Gained_in_Rank,Dropped_in_Rank,Global500,Worlds_Most_Admired_Companies,Best_Companies_to_Work_For,Number_of_employees,MarketCap_March28_M,Revenues_M,RevenuePercentChange,Profits_M,ProfitsPercentChange,资产,更新市值
712,Alliant Energy,LNT,Energy,Utilities: Gas and Electric,1,0,1,1,-22,0,1,0,0,0,3281,12907.5,4027,-4.2,703,2.5,21237,12908
713,Generac Holdings,GNRC,Industrials,Industrial Machinery,1,0,0,0,-54,0,1,0,0,0,8458,7602.4,4022.7,-11.9,214.6,-46.3,5093.3,7602
714,MSC Industrial Direct,MSM,Wholesalers,Wholesalers: Diversified,1,0,0,1,45,1,0,0,0,0,7254,5463.4,4009.3,8.6,343.2,1,2544.1,5463
715,Rocket Companies,RKT,Financials,Diversified Financials,0,0,0,0,-173,0,1,0,0,1,14700,28891.1,4005.9,-33.3,-15.5,-133.4,19231.7,28891
716,Upbound Group,UPBD,Retailing,Specialty Retailers: Other,0,0,0,1,-28,0,1,0,0,0,12970,1916,3992.4,-6,-5.2,-141.9,2721.4,1916
717,East West Bancorp,EWBC,Financials,Commercial Banks,1,0,0,1,209,1,0,0,0,0,3206,11077.8,3989.1,52.3,1161.2,2.9,69612.9,11078
718,Hilton Grand Vacations,HGV,"Hotels, Restaurants & Leisure","Hotels, Casi0s, Resorts",1,0,0,1,17,1,0,0,0,0,15000,4945,3978,3.7,313,-11.1,8685,4945
719,Grocery Outlet Holding,GO,Food & Drug Stores,Food & Drug Stores,1,0,0,1,55,1,0,0,0,0,949,2855.8,3969.5,10.9,79.4,22.1,2969.6,2856
720,Dentsply Sirona,XRAY,Health Care,Medical Products and Equipment,0,0,0,0,6,1,0,0,0,0,15000,6882.4,3965,1.1,-132,,7370,6882
721,V2X,VVX,Aerospace & Defense,Aerospace & Defense,0,0,0,1,155,1,0,0,0,0,16000,1469.2,3963.1,37.1,-22.6,,3081.9,1469
722,Crocs,CROX,Apparel,Apparel,1,0,0,1,59,1,0,0,0,0,7030,8699.7,3962.3,11.5,792.6,46.7,4643.8,8700
723,Spectrum Brands Holdings,SPB,Household Products,Household and Personal Products,1,0,0,0,-87,0,1,0,0,0,3100,2694.5,3961.3,-17.2,1801.5,2416.1,5258.4,2695
724,Visteon,VC,Motor Vehicles & Parts,Motor Vehicles & Parts,1,0,0,0,24,1,0,0,0,0,10000,3233.3,3954,5.3,486,291.9,2727,3233
725,Acuity Brands,AYI,Industrials,"Electronics, Electrical Equip.",1,0,0,0,-14,0,1,0,0,0,12200,8281.4,3952.2,-1.3,346,-9.9,3408.5,8281
726,Greenbrier,GBX,Transportation,Transportation Equipment,1,0,1,0,139,1,0,0,0,0,13800,1619.8,3944,32.5,62.5,33.3,3978.4,1620
727,Webster Financial,WBS,Financials,Commercial Banks,1,0,0,0,181,1,0,0,0,0,4196,8709.8,3942.6,44.7,867.8,34.7,74945.2,8710
728,Cabot,CBT,Chemicals,Chemicals,1,0,0,1,-43,0,1,0,0,0,4268,5110.7,3931,-9,445,112.9,3604,5111
729,RXO,RXO,Transportation,"Trucking, Truck Leasing",1,0,0,0,-95,0,1,0,0,0,7242,2560.9,3927,-18.1,4,-95.7,1825,2561
730,Chord Energy,CHRD,Energy,"Mining, Crude-Oil Production",1,0,0,0,33,1,0,0,0,0,514,7404.7,3896.6,6.6,1023.8,-44.8,6926.2,7405
731,Popular,BPOP,Financials,Commercial Banks,1,0,0,1,76,1,0,0,0,0,9088,6368.4,3896,15.9,541.3,-50.9,70758.2,6368
732,Garrett Motion,GTX,Motor Vehicles & Parts,Motor Vehicles & Parts,1,0,0,1,38,1,0,0,0,0,8650,2263.4,3886,7.9,261,-33.1,2527,2263
733,Tutor Perini,TPC,Engineering & Construction,Engineering & Construction,0,0,0,1,12,1,0,0,0,0,8200,752.3,3880.2,2.4,-171.2,,4429.9,752
734,Copart,CPRT,Retailing,"Automotive Retailing, Services",1,0,0,1,55,1,0,0,0,0,12000,55687.9,3869.5,10.5,1237.7,13.5,6737.9,55688
735,Toast,TOST,Business Services,Financial Data Services,0,1,0,1,171,1,0,0,0,0,5500,13656.2,3865,41.5,-246,,1958,13656
736,Align Tech0logy,ALGN,Health Care,Medical Products and Equipment,1,0,0,0,19,1,0,0,0,0,21610,24628.1,3862.3,3.4,445.1,23.1,6083.9,24628
737,A.O. Smith,AOS,Industrials,"Electronics, Electrical Equip.",1,0,0,0,12,1,0,0,0,0,12000,13156.3,3852.8,2.6,556.6,136.1,3213.9,13156
738,TransUnion,TRU,Business Services,Financial Data Services,0,0,0,1,13,1,0,0,0,0,13200,15499.5,3831.2,2.3,-206.2,-176.5,11105.1,15500
739,NCR Voyix,VYX,Tech0logy,Computer Software,0,0,0,0,-296,0,1,0,0,0,15500,1822.4,3830,-51.2,-423,-805,4990,1822
740,Akamai Tech0logies,AKAM,Tech0logy,Internet Services and Retailing,1,1,0,1,28,1,0,0,0,0,10281,16663.3,3811.9,5.4,547.6,4.6,9900,16663
741,Trimble,TRMB,Tech0logy,"Electronics, Electrical Equip.",1,0,0,1,19,1,0,0,0,0,12700,15812.4,3798.7,3.3,311.3,-30.8,9539.3,15812
742,AMN Healthcare Services,AMN,Health Care,Health Care: Pharmacy and Other Services,1,0,1,0,-146,0,1,0,0,0,3585,2368.4,3789.3,-27.7,210.7,-52.6,2924.4,2368
743,Mettler-Toledo International,MTD,Tech0logy,"Scientific,Photographic and  Control Equipment",1,0,0,0,-17,0,1,0,0,0,16650,28473.6,3788.3,-3.4,788.8,-9.6,3355.6,28474
744,ScanSource,SCSC,Wholesalers,Wholesalers: Electronics and Office Equipment,1,1,0,0,41,1,0,0,1,0,2300,1108.5,3787.7,7.3,89.8,1.1,2068.2,1109
745,LCI Industries,LCII,Motor Vehicles & Parts,Motor Vehicles & Parts,1,0,0,0,-143,0,1,0,0,0,11700,3131.6,3784.8,-27.3,64.2,-83.7,2959.3,3132
746,Cboe Global Markets,CBOE,Financials,Securities,1,0,0,1,-31,0,1,0,0,0,1647,19398.5,3773.5,-4.7,761.4,224,7487.5,19399
747,Diebold Nixdorf,DBD,Tech0logy,"Computers, Office Equipment",0,0,0,0,50,1,0,0,0,0,21000,1293.8,3760.5,8.7,,,4162,1294
748,ChampionX,CHX,Energy,"Oil and Gas Equipment, Services",1,0,0,0,-8,0,1,0,0,0,7100,6858.6,3758.3,-1.3,314.2,102.8,3241.7,6859
749,Corpay,CPAY,Business Services,Financial Data Services,1,0,0,1,50,1,0,0,0,0,10500,22169.7,3757.7,9.6,981.9,2.9,15476.3,22170
750,iHeartMedia,IHRT,Media,Entertainment,0,0,0,0,-21,0,1,0,0,0,9990,313.1,3751,-4.1,-1102.7,,6952.6,313
751,Travel + Leisure,TNL,"Hotels, Restaurants & Leisure","Hotels, Casi0s, Resorts",1,0,0,1,25,1,0,0,1,0,19000,3477.7,3750,5.1,396,10.9,6738,3478
752,Dream Finders Homes,DFH,Engineering & Construction,Homebuilders,1,1,0,1,59,1,0,0,0,0,1236,4078.5,3748.6,12.2,295.9,12.8,2562.4,4079
753,Boyd Gaming,BYD,"Hotels, Restaurants & Leisure","Hotels, Casi0s, Resorts",1,0,0,1,26,1,0,0,0,0,16129,6466.3,3738.5,5.2,620,-3,6273.1,6466
754,Ensign Group,ENSG,Health Care,Health Care: Medical Facilities,1,0,0,1,102,1,0,0,0,0,35300,7080.1,3729.4,23.3,209.4,-6.8,4177.5,7080
755,Sally Beauty Holdings,SBH,Retailing,Specialty Retailers: Other,1,0,1,0,-20,0,1,0,0,0,20000,1302.7,3728.1,-2.3,184.6,0.6,2725.3,1303
756,Conduent,CNDT,Business Services,Diversified Outsourcing Services,0,0,0,0,-26,0,1,0,0,0,59000,709.7,3722,-3.5,-296,,3162,710
757,Sylvamo,SLVM,Materials,Forest and Paper Products,1,0,0,0,-63,0,1,0,0,0,6500,2559.8,3721,-10.3,253,114.4,2872,2560
758,Tri Pointe Homes,TPH,Engineering & Construction,Homebuilders,1,0,0,0,-81,0,1,0,1,0,1438,3710.3,3715.2,-14.6,343.7,-40.3,4914.6,3710
759,EnerSys,ENS,Industrials,"Electronics, Electrical Equip.",1,0,0,0,49,1,0,0,0,0,11350,3817.7,3708.6,10.5,175.8,22.2,3616.7,3818
760,Incyte,INCY,Health Care,Pharmaceuticals,1,0,0,1,39,1,0,0,0,0,2524,12791.3,3695.6,8.9,597.6,75.4,6782.1,12791
761,Century Communities,CCS,Engineering & Construction,Homebuilders,1,1,0,1,-99,0,1,0,0,0,1650,3066.9,3692.2,-18.1,259.2,-50.6,4139.4,3067
762,Rithm Capital,RITM,Financials,Real estate,1,0,0,1,-112,0,1,0,0,0,6570,5392.8,3691.9,-19.9,622.3,-34.8,35311.8,5393
